Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_Combined
FDL12,15.85,1,0.121632721,0,60.622,OUT046,2,0,1,2576.646,24,1
FDS02,12.792854228644284,1,0.255394896,4,196.8794,OUT019,2,0,0,780.3176,36,1
NCL17,7.39,0,0.067779712,8,143.8812,OUT046,2,0,1,3134.5864,24,2
FDM40,10.195,0,0.159803853,5,141.5154,OUT013,0,2,1,850.8924,34,1
FDR13,9.895,1,0.028696932,3,117.0492,OUT013,0,2,1,810.9444,34,1
FDA43,10.895,0,0.065041581,6,196.3794,OUT017,1,1,1,3121.2704,14,1
NCP18,12.15,0,0.028760013,9,151.4708,OUT017,1,1,1,4815.0656,14,2
FDK21,7.905,0,0.010053105,13,249.0408,OUT018,1,2,2,6258.52,12,1
NCX54,9.195,0,0.048157338,9,106.1622,OUT045,1,1,1,2117.244,19,2
DRK35,8.365,0,0.071958197,7,38.0506,OUT049,1,0,1,796.9626,22,0
FDY21,15.1,0,0.173481304,13,194.511,OUT046,2,0,1,4910.275,24,1
FDI26,12.792854228644284,0,0.061082177,3,180.0344,OUT019,2,0,0,892.172,36,1
FDM20,10.0,0,0.0,6,246.9144,OUT018,1,2,2,3185.1872,12,1
FDV27,7.97,1,0.040071131,10,87.3514,OUT045,1,1,1,1062.6168,19,1
FDF09,12.792854228644284,0,0.012090074,6,38.2848,OUT027,1,2,3,484.7024,36,1
FDY40,12.792854228644284,1,0.15028599,5,51.0692,OUT019,2,0,0,147.8076,36,1
FDY45,12.792854228644284,0,0.026015519,13,255.8356,OUT027,1,2,3,2543.356,36,1
FDC46,17.7,0,0.195068226,13,185.4266,OUT010,1,2,0,184.4266,23,1
FDH19,19.35,0,0.033082215,10,172.5738,OUT035,2,1,1,4865.6664,17,1
FDZ03,13.65,1,0.078946455,4,186.024,OUT045,1,1,1,1118.544,19,1
DRH37,17.6,0,0.041700756,14,164.8526,OUT045,1,1,1,2302.3364,19,0
NCI17,8.645,0,0.143422643,8,95.841,OUT046,2,0,1,2027.361,24,2
FDJ58,15.6,1,0.105296072,13,170.1764,OUT046,2,0,1,3435.528,24,1
FDL12,15.85,1,0.121531501,0,59.222,OUT013,0,2,1,599.22,34,1
FDH35,18.25,0,0.0,15,164.7526,OUT045,1,1,1,4604.6728,19,1
FDG02,7.855,0,0.011324862,3,189.6188,OUT017,1,1,1,2285.0256,14,1
NCZ18,7.825,0,0.186357148,9,254.3698,OUT049,1,0,1,5580.7356,22,2
FDC29,8.39,1,0.024205661,5,114.0176,OUT046,2,0,1,2290.352,24,1
FDQ10,12.85,0,0.033230816,13,172.3422,OUT049,1,0,1,1207.0954,22,1
FDN48,12.792854228644284,0,0.113720344,0,89.9804,OUT019,2,0,0,643.1628,36,1
FDL04,19.0,0,0.112556507,5,104.9622,OUT017,1,1,1,1587.933,14,1
FDV25,5.905,0,0.0,3,222.5456,OUT045,1,1,1,5305.0944,19,1
FDD58,7.76,0,0.059352241,13,101.87,OUT046,2,0,1,1697.79,24,1
FDN04,11.8,1,0.014087057,5,180.3344,OUT046,2,0,1,1427.4752,24,1
FDV45,16.75,0,0.045230944,13,187.9556,OUT018,1,2,2,4693.89,12,1
NCL18,12.792854228644284,0,0.293417759,9,194.6136,OUT019,2,0,0,583.2408,36,2
FDR12,12.792854228644284,1,0.031382044,0,171.3764,OUT027,1,2,3,3091.9752,36,1
FDG20,15.5,1,0.12639886,6,177.0028,OUT017,1,1,1,2479.4392,14,1
FDZ55,6.055,0,0.025403898,6,160.992,OUT035,2,1,1,2716.464,17,1
FDQ49,12.792854228644284,1,0.039057677,2,155.963,OUT027,1,2,3,3285.723,36,1
FDN33,6.305,1,0.123115764,13,95.6436,OUT046,2,0,1,661.8052,24,1
FDN27,20.85,0,0.039624006,10,117.2808,OUT049,1,0,1,1523.3504,22,1
FDW20,20.75,0,0.040421193,6,122.173,OUT010,1,2,0,369.519,23,1
DRG27,8.895,0,0.105274111,4,39.9138,OUT049,1,0,1,690.4346,22,0
DRI25,19.6,0,0.033970195,14,55.1614,OUT045,1,1,1,1381.535,19,0
FDA44,19.7,0,0.053212652,6,57.893,OUT035,2,1,1,622.523,17,1
NCR17,9.8,0,0.024378706,8,114.5492,OUT035,2,1,1,1274.3412,17,2
FDU04,12.792854228644284,0,0.009714595,5,120.0414,OUT019,2,0,0,487.3656,36,1
FDF41,12.15,0,0.131383762,5,246.046,OUT049,1,0,1,1231.73,22,1
FDB56,8.75,1,0.07461309,6,187.4556,OUT035,2,1,1,3755.112,17,1
NCP18,12.792854228644284,0,0.028459761,9,149.9708,OUT027,1,2,3,4363.6532,36,2
FDB56,8.75,1,0.074627201,6,187.8556,OUT046,2,0,1,1314.2892,24,1
FDT28,13.3,0,0.063695084,5,151.0708,OUT045,1,1,1,1805.6496,19,1
FDD10,12.792854228644284,1,0.045797829,13,178.5344,OUT027,1,2,3,2854.9504,36,1
FDW57,8.31,1,0.115857223,13,179.1028,OUT049,1,0,1,3896.2616,22,1
DRB48,16.75,1,0.024832806,14,38.7822,OUT013,0,2,1,667.7974,34,0
FDP09,19.75,0,0.034027909,13,212.0902,OUT018,1,2,2,3185.853,12,1
FDH14,17.1,1,0.0467696,3,141.1838,OUT013,0,2,1,2247.7408,34,1
FDA47,10.5,1,0.116576702,0,163.121,OUT013,0,2,1,1794.331,34,1
FDG12,6.635,1,0.0,0,121.3098,OUT045,1,1,1,2530.7058,19,1
DRE60,12.792854228644284,0,0.278974075,14,225.372,OUT019,2,0,0,679.116,36,0
DRK49,14.15,0,0.035913805,14,41.4138,OUT013,0,2,1,812.276,34,0
FDD03,13.3,0,0.079806266,4,232.53,OUT046,2,0,1,699.09,24,1
FDS52,8.89,0,0.005505481,5,102.4016,OUT017,1,1,1,2732.4432,14,1
FDW39,12.792854228644284,1,0.064625342,10,176.937,OUT019,2,0,0,176.437,36,1
FDX34,12.792854228644284,0,0.071636937,13,121.7098,OUT027,1,2,3,4097.3332,36,1
FDV11,9.1,1,0.0,1,173.2054,OUT045,1,1,1,3151.8972,19,1
FDD17,7.5,0,0.032677678,5,239.0906,OUT049,1,0,1,5942.265,22,1
FDZ16,16.85,1,0.160760054,5,192.4478,OUT017,1,1,1,4843.695,14,1
FDZ46,7.485,0,0.06911065,13,109.0228,OUT035,2,1,1,2542.0244,17,1
DRA12,11.6,0,0.041177505,14,140.3154,OUT017,1,1,1,2552.6772,14,0
FDY58,11.65,0,0.040081193,13,227.0694,OUT018,1,2,2,1141.847,12,1
NCF19,13.0,0,0.035307322,9,47.5034,OUT017,1,1,1,680.4476,14,2
DRJ13,12.65,0,0.063017847,14,159.0578,OUT045,1,1,1,2085.9514,19,0
FDB14,20.25,1,0.171938781,3,92.512,OUT010,1,2,0,186.424,23,1
FDJ38,8.6,1,0.040197932,3,190.153,OUT035,2,1,1,3036.048,17,1
FDW11,12.6,0,0.049058014,1,62.7194,OUT017,1,1,1,866.8716,14,1
FDL40,17.7,0,0.01161096,5,95.041,OUT035,2,1,1,868.869,17,1
DRI49,14.15,0,0.183507295,14,82.4276,OUT046,2,0,1,1137.1864,24,0
FDV38,19.25,0,0.102349519,4,52.7956,OUT017,1,1,1,928.1252,14,1
DRG23,8.88,0,0.086708987,7,151.7682,OUT013,0,2,1,762.341,34,0
NCP30,20.5,0,0.032835147,9,40.2822,OUT045,1,1,1,707.0796,19,2
FDY25,12.792854228644284,0,0.033809913,3,180.5976,OUT027,1,2,3,7968.2944,36,1
NCH54,13.5,0,0.07266912,9,160.292,OUT046,2,0,1,1438.128,24,2
NCR53,12.792854228644284,0,0.144338493,8,224.4404,OUT027,1,2,3,6976.2524,36,2
FDS52,8.89,0,0.009163216,5,101.7016,OUT010,1,2,0,101.2016,23,1
FDG02,7.855,0,0.011307038,3,188.5188,OUT018,1,2,2,952.094,12,1
NCO26,7.235,0,0.076855628,9,116.0492,OUT046,2,0,1,1969.4364,24,2
FDH35,12.792854228644284,0,0.059956876,15,165.4526,OUT027,1,2,3,5262.4832,36,1
FDB51,6.92,0,0.038532062,4,60.5852,OUT045,1,1,1,1314.2892,19,1
FDX44,9.3,0,0.043209581,6,90.8172,OUT017,1,1,1,535.3032,14,1
NCN07,18.5,0,0.056816465,11,132.1284,OUT010,1,2,0,263.6568,23,2
NCC31,8.02,0,0.019866705,9,154.5972,OUT035,2,1,1,1402.1748,17,2
NCX54,9.195,0,0.048331717,9,105.1622,OUT017,1,1,1,1693.7952,14,2
NCO55,12.8,0,0.091221855,11,105.5938,OUT045,1,1,1,2143.876,19,2
NCC30,16.6,0,0.027622076,9,177.6344,OUT049,1,0,1,2676.516,22,2
FDI16,14.0,1,0.0,5,53.064,OUT035,2,1,1,905.488,17,1
FDP16,18.6,0,0.039355947,5,246.3802,OUT049,1,0,1,7370.406,22,1
FDB11,16.0,0,0.060836524,15,226.8404,OUT035,2,1,1,6301.1312,17,1
NCB06,17.6,0,0.082316506,8,160.692,OUT035,2,1,1,1597.92,17,2
FDA45,21.25,0,0.155350299,13,178.237,OUT035,2,1,1,529.311,17,1
NCO26,7.235,0,0.076841095,9,117.5492,OUT035,2,1,1,1969.4364,17,2
DRJ25,14.6,0,0.151419185,14,50.3692,OUT017,1,1,1,1034.6532,14,0
FDR28,13.85,1,0.026001976,5,161.521,OUT018,1,2,2,1794.331,12,1
FDI04,13.65,1,0.073209447,5,197.6426,OUT018,1,2,2,2768.3964,12,1
DRK12,12.792854228644284,0,0.041683481,14,31.29,OUT027,1,2,3,898.83,36,0
FDX20,7.365,0,0.042560252,6,226.172,OUT046,2,0,1,3169.208,24,1
NCI18,18.35,0,0.014081156,9,223.5746,OUT018,1,2,2,3589.9936,12,2
FDB36,5.465,1,0.0,0,132.5626,OUT018,1,2,2,262.3252,12,1
FDN13,18.6,0,0.152918384,2,99.8358,OUT017,1,1,1,1910.1802,14,1
DRD24,13.85,0,0.030969274,14,140.9154,OUT017,1,1,1,1701.7848,14,0
FDQ28,14.0,1,0.060376776,5,154.5656,OUT013,0,2,1,2471.4496,34,1
FDM22,14.0,1,0.04192285,13,54.764,OUT013,0,2,1,1331.6,34,1
FDR07,12.792854228644284,0,0.077367431,6,97.0094,OUT027,1,2,3,1808.9786,36,1
FDV25,5.905,0,0.045838211,3,222.5456,OUT018,1,2,2,3315.684,12,1
DRF49,7.27,0,0.071077939,14,114.2518,OUT046,2,0,1,2618.5914,24,0
FDW51,6.155,1,0.094659871,10,214.556,OUT046,2,0,1,2769.728,24,1
DRL01,19.5,1,0.077608838,14,233.4958,OUT017,1,1,1,5375.0034,14,0
FDP25,15.2,0,0.021327477,3,216.8824,OUT017,1,1,1,2838.9712,14,1
FDL50,12.15,1,0.042485444,3,125.0046,OUT018,1,2,2,1743.0644,12,1
NCB30,12.792854228644284,0,0.025578526,9,198.8084,OUT027,1,2,3,5555.4352,36,2
FDW11,12.6,0,0.0489808,1,61.9194,OUT018,1,2,2,619.194,12,1
NCM43,14.5,0,0.019471688,11,164.821,OUT035,2,1,1,2120.573,17,2
FDK44,16.6,0,0.122918852,6,173.0738,OUT017,1,1,1,3823.0236,14,1
FDM15,11.8,1,0.057373797,10,151.4366,OUT013,0,2,1,1360.2294,34,1
FDS31,13.1,1,0.044155597,6,178.8318,OUT013,0,2,1,3969.4996,34,1
FDI32,17.7,0,0.291865402,6,115.1834,OUT010,1,2,0,345.5502,23,1
FDR47,17.85,0,0.0,1,196.5794,OUT010,1,2,0,585.2382,23,1
FDB35,12.3,1,0.064750025,15,92.6804,OUT045,1,1,1,1010.6844,19,1
NCU05,11.8,0,0.098312421,8,81.4618,OUT010,1,2,0,161.1236,23,2
DRY23,12.792854228644284,1,0.191013663,14,42.1112,OUT019,2,0,0,42.6112,36,0
FDO24,11.1,0,0.176573035,0,157.4604,OUT045,1,1,1,3010.7476,19,1
FDQ28,12.792854228644284,1,0.060134441,5,153.0656,OUT027,1,2,3,6024.1584,36,1
FDV39,11.3,0,0.007294652,10,198.1426,OUT045,1,1,1,988.713,19,1
NCO17,12.792854228644284,0,0.128478462,8,117.944,OUT019,2,0,0,239.688,36,2
FDU50,5.75,1,0.075107656,4,112.8176,OUT013,0,2,1,1374.2112,34,1
FDT12,12.792854228644284,1,0.049381406,0,226.8062,OUT027,1,2,3,4739.8302,36,1
FDK58,11.35,1,0.045165796,13,100.0016,OUT018,1,2,2,1012.016,12,1
FDO08,12.792854228644284,1,0.09415375,6,165.7526,OUT019,2,0,0,657.8104,36,1
NCW29,14.0,0,0.028907832,8,130.431,OUT049,1,0,1,778.986,22,2
FDE04,19.75,1,0.018059621,5,179.766,OUT045,1,1,1,2336.958,19,1
NCB19,6.525,0,0.090436094,9,85.0882,OUT049,1,0,1,2233.0932,22,2
FDV15,10.3,0,0.146399712,10,103.9648,OUT049,1,0,1,1661.8368,22,1
FDL58,5.78,1,0.074264356,13,264.7568,OUT049,1,0,1,4745.8224,22,1
FDA08,11.85,1,0.050186726,6,164.1526,OUT045,1,1,1,3124.5994,19,1
FDT43,16.35,0,0.020631654,6,50.1324,OUT018,1,2,2,467.3916,12,1
NCX06,12.792854228644284,0,0.01561108,9,182.5976,OUT027,1,2,3,5070.7328,36,2
FDT20,10.5,0,0.041395445,6,37.6164,OUT046,2,0,1,540.6296,24,1
FDB41,19.0,1,0.097313129,5,48.0718,OUT046,2,0,1,992.7078,24,1
NCN55,14.6,0,0.059582996,11,238.8538,OUT049,1,0,1,6008.845,22,2
FDE40,12.792854228644284,1,0.098663652,4,62.9194,OUT027,1,2,3,2105.2596,36,1
FDX49,12.792854228644284,1,0.101338651,3,232.63,OUT027,1,2,3,5359.69,36,1
NCM53,18.75,0,0.052146456,8,104.628,OUT045,1,1,1,745.696,19,2
FDE36,5.26,1,0.041764487,0,161.8868,OUT035,2,1,1,3275.736,17,1
FDN57,18.25,0,0.054344186,13,140.2154,OUT045,1,1,1,1701.7848,19,1
FDI24,12.792854228644284,0,0.078362484,0,177.937,OUT027,1,2,3,6704.606,36,1
FDI19,15.1,0,0.052339069,10,242.7512,OUT046,2,0,1,4119.9704,24,1
FDF24,15.5,1,0.042464962,0,81.5934,OUT010,1,2,0,327.5736,23,1
FDG52,13.65,0,0.065732883,5,45.7402,OUT049,1,0,1,780.9834,22,1
DRF36,16.1,0,0.023625114,14,189.3846,OUT045,1,1,1,3630.6074,19,0
FDS45,12.792854228644284,1,0.051643608,13,107.3622,OUT019,2,0,0,317.5866,36,1
FDX40,12.85,0,0.165694219,5,39.7164,OUT010,1,2,0,231.6984,23,1
DRK12,9.5,0,0.041878397,14,32.99,OUT035,2,1,1,133.16,17,0
DRC27,13.8,0,0.058091482,4,245.1802,OUT035,2,1,1,5650.6446,17,0
FDL58,5.78,1,0.0,13,263.7568,OUT017,1,1,1,2636.568,14,1
NCD30,19.7,0,0.026903714,9,96.0726,OUT045,1,1,1,1272.3438,19,2
NCZ54,14.65,0,0.0,9,161.5552,OUT010,1,2,0,324.9104,23,2
FDE10,6.67,1,0.150554711,13,130.0626,OUT010,1,2,0,131.1626,23,1
FDR44,6.11,1,0.0,6,131.2968,OUT010,1,2,0,260.9936,23,1
FDP28,13.65,1,0.134975628,5,260.0936,OUT010,1,2,0,260.9936,23,1
FDX15,17.2,0,0.15616879,10,160.6578,OUT013,0,2,1,3690.5294,34,1
FDA39,6.32,0,0.0,10,40.2822,OUT035,2,1,1,1139.1838,17,1
FDY24,4.88,1,0.133700752,0,52.9298,OUT049,1,0,1,1995.4026,22,1
FDC60,5.425,1,0.115119905,0,88.3514,OUT017,1,1,1,1416.8224,14,1
FDH28,15.85,1,0.110030997,5,37.2506,OUT046,2,0,1,265.6542,24,1
FDT25,7.5,0,0.051038045,3,121.7072,OUT017,1,1,1,3552.7088,14,1
DRJ13,12.65,0,0.062837968,14,161.5578,OUT013,0,2,1,2406.867,34,0
NCO07,12.792854228644284,0,0.017116983,11,211.956,OUT019,2,0,0,213.056,36,2
FDW20,20.75,0,0.024129332,6,124.173,OUT013,0,2,1,2956.152,34,1
DRF27,12.792854228644284,0,0.049754975,4,152.134,OUT019,2,0,0,153.134,36,0
FDS49,9.0,0,0.0,3,79.7644,OUT035,2,1,1,1649.8524,17,1
FDX25,12.792854228644284,0,0.101561568,3,181.9292,OUT027,1,2,3,3101.2964,36,1
NCX42,12.792854228644284,0,0.005949644,9,165.6526,OUT027,1,2,3,4769.1254,36,2
FDG33,12.792854228644284,1,0.13956116,12,170.4764,OUT027,1,2,3,3435.528,36,1
FDL56,14.1,0,0.126035694,6,86.4198,OUT045,1,1,1,1133.8574,19,1
FDF14,7.55,0,0.027164679,3,152.334,OUT035,2,1,1,2603.278,17,1
NCD06,13.0,0,0.099325278,9,45.406,OUT046,2,0,1,605.878,24,2
DRM47,12.792854228644284,0,0.04357366,7,192.8846,OUT027,1,2,3,2293.0152,36,0
FDS46,12.792854228644284,1,0.082741482,13,118.7782,OUT019,2,0,0,119.1782,36,1
FDB35,12.3,1,0.064565202,15,92.9804,OUT013,0,2,1,1929.4884,34,1
FDX21,12.792854228644284,0,0.084554569,13,109.8912,OUT027,1,2,3,2074.6328,36,1
NCU05,12.792854228644284,0,0.058451805,8,79.9618,OUT027,1,2,3,241.6854,36,2
NCR38,17.25,0,0.113748685,9,251.3724,OUT045,1,1,1,6795.1548,19,2
NCR18,15.85,0,0.020603511,9,42.7112,OUT017,1,1,1,639.168,14,2
NCU41,18.85,0,0.052044976,8,192.1846,OUT035,2,1,1,3248.4382,17,2
FDY56,16.35,1,0.062764429,6,227.6062,OUT017,1,1,1,7222.5984,14,1
DRJ51,14.1,0,0.087977262,4,229.0668,OUT035,2,1,1,3225.1352,17,0
FDK21,7.905,0,0.010010425,13,249.0408,OUT035,2,1,1,3755.112,17,1
FDY25,12.0,0,0.033946163,3,179.3976,OUT013,0,2,1,3440.8544,34,1
FDU44,12.15,1,0.058414678,6,163.4552,OUT035,2,1,1,974.7312,17,1
FDL43,10.1,0,0.027106459,10,75.367,OUT049,1,0,1,535.969,22,1
FDF05,17.5,0,0.027022883,5,262.491,OUT017,1,1,1,5259.82,14,1
DRF15,12.792854228644284,0,0.058153409,4,152.034,OUT019,2,0,0,306.268,36,0
FDL20,17.1,0,0.128937661,6,112.3886,OUT018,1,2,2,1779.0176,12,1
FDV32,7.785,0,0.088846306,6,61.451,OUT049,1,0,1,759.012,22,1
FDJ34,11.8,1,0.09357779,13,125.9704,OUT013,0,2,1,1877.556,34,1
FDG08,13.15,1,0.165694678,6,171.8764,OUT045,1,1,1,3779.0808,19,1
FDQ04,12.792854228644284,0,0.148392623,5,41.5796,OUT019,2,0,0,41.2796,36,1
FDW13,8.5,0,0.098438394,3,51.1324,OUT017,1,1,1,259.662,14,1
NCI17,8.645,0,0.143303291,8,96.341,OUT013,0,2,1,193.082,34,2
FDY03,17.6,1,0.076276208,10,110.9202,OUT045,1,1,1,1687.803,19,1
FDS12,9.1,0,0.175103435,0,127.5362,OUT017,1,1,1,4655.9394,14,1
FDJ55,12.8,1,0.023511371,10,225.9404,OUT013,0,2,1,4950.8888,34,1
DRK01,7.63,0,0.06105276,14,95.4436,OUT035,2,1,1,1418.154,17,0
FDG28,9.285,1,0.049559042,5,246.4144,OUT017,1,1,1,1225.072,14,1
FDY38,13.6,1,0.119418124,4,231.03,OUT045,1,1,1,5359.69,19,1
FDN01,8.895,0,0.072545601,2,176.237,OUT045,1,1,1,1764.37,19,1
NCR54,16.35,0,0.090486828,9,195.211,OUT013,0,2,1,2553.343,34,2
FDG29,17.6,0,0.056245075,5,43.3454,OUT013,0,2,1,1006.6896,34,1
FDG24,7.975,0,0.014618973,0,85.225,OUT013,0,2,1,1081.925,34,1
FDG59,15.85,0,0.043479126,15,36.7164,OUT017,1,1,1,308.9312,14,1
FDM28,15.7,0,0.045166237,5,178.666,OUT013,0,2,1,2516.724,34,1
FDW04,8.985,1,0.057827101,5,128.831,OUT046,2,0,1,1428.141,24,1
FDS26,20.35,0,0.089394766,4,260.1594,OUT013,0,2,1,2093.2752,34,1
FDQ56,6.59,0,0.10550944,6,85.6908,OUT013,0,2,1,1929.4884,34,1
FDK51,19.85,0,0.005234153,4,264.0884,OUT035,2,1,1,5829.7448,17,1
FDL22,16.85,0,0.036390174,13,91.4488,OUT046,2,0,1,2082.6224,24,1
FDH19,12.792854228644284,0,0.03292824,10,173.1738,OUT027,1,2,3,7298.4996,36,1
FDY55,16.75,0,0.081252534,6,256.4988,OUT013,0,2,1,7452.9652,34,1
FDY03,17.6,1,0.076552407,10,110.5202,OUT017,1,1,1,450.0808,14,1
FDK21,7.905,0,0.016758569,13,250.4408,OUT010,1,2,0,500.6816,23,1
FDZ10,12.792854228644284,0,0.044248175,13,126.202,OUT027,1,2,3,3668.558,36,1
FDZ32,7.785,1,0.038288087,6,103.1964,OUT018,1,2,2,736.3748,12,1
NCZ18,7.825,0,0.186032678,9,253.0698,OUT035,2,1,1,6088.0752,17,2
NCF07,12.792854228644284,0,0.031867464,9,101.0016,OUT027,1,2,3,2125.2336,36,2
DRE49,20.75,0,0.021370201,14,153.0024,OUT017,1,1,1,2277.036,14,0
FDJ08,12.792854228644284,0,0.193772568,6,190.3846,OUT019,2,0,0,573.2538,36,1
FDT39,6.26,1,0.009866049,10,151.1366,OUT035,2,1,1,2267.049,17,1
FDE08,18.2,0,0.082551042,6,147.3734,OUT010,1,2,0,296.9468,23,1
NCD06,13.0,0,0.099729888,9,46.306,OUT018,1,2,2,559.272,12,2
FDB57,20.25,1,0.018801549,6,222.1772,OUT035,2,1,1,5559.43,17,1
NCT54,8.695,0,0.119721451,9,95.5094,OUT049,1,0,1,1237.7222,22,2
DRF49,7.27,0,0.071222087,14,113.5518,OUT045,1,1,1,569.259,19,0
FDM25,12.792854228644284,1,0.060371962,2,174.0712,OUT027,1,2,3,3866.9664,36,1
FDF20,12.85,0,0.033287541,6,198.4768,OUT045,1,1,1,1379.5376,19,1
FDH27,7.075,0,0.05858462,4,142.7128,OUT018,1,2,2,1869.5664,12,1
FDV60,12.792854228644284,1,0.11679292,0,196.211,OUT027,1,2,3,5499.508,36,1
FDY59,8.195,0,0.031452265,0,94.3462,OUT049,1,0,1,925.462,22,1
FDK36,7.09,0,0.00721395,0,47.9034,OUT035,2,1,1,583.2408,17,1
NCM31,6.095,0,0.081196619,11,141.4154,OUT046,2,0,1,1418.154,24,2
FDE33,19.35,1,0.049916364,6,80.2644,OUT017,1,1,1,942.7728,14,1
FDU36,6.15,0,0.04627095,0,99.3384,OUT046,2,0,1,2364.9216,24,1
FDV13,12.792854228644284,1,0.02747716,3,87.9856,OUT027,1,2,3,3251.7672,36,1
FDV20,12.792854228644284,1,0.104704537,6,125.2678,OUT019,2,0,0,254.3356,36,1
NCQ54,17.7,0,0.012540003,9,167.0474,OUT035,2,1,1,5895.659,17,2
FDO23,17.85,0,0.147023834,1,93.7436,OUT018,1,2,2,1134.5232,12,1
DRE60,9.395,0,0.159657596,14,224.972,OUT045,1,1,1,7696.648,19,0
DRP47,15.75,0,0.141398626,7,250.5382,OUT017,1,1,1,2775.7202,14,0
FDB21,7.475,0,0.148821808,6,241.2854,OUT045,1,1,1,5317.0788,19,1
